,Count,Minimum,Maximum,Average,Median,Standard Deviation,Variance,25th Percentile,75th Percentile,Avg. of Upper 25 %, Avg. of Lower 25 %,Avg. of First 25 %,Avg. of Last 25 %,Slope,Intercept,Average Relative Error
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 22",50,3,5973,664.4,00:00.0,1788.963912,3200391.878,13,198,2604.25,3,5.083333333,2419.153846,67.62016807,-992.2941176,0.303604544
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 28",40,182,10982,3917,00:00.0,3830.414719,14672076.92,482,7382,9182,182,182,9182,306.5290807,-2060.317073,0.875214234
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 28",50,15,7015,1353,00:00.0,1904.467358,3626995.918,165,2415,3948.333333,60.83333333,60.83333333,3830.384615,100.1104442,-1099.705882,0.587179175
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 28",45,26,9026,2652.666667,00:00.0,2835.902133,8042340.909,326,3776,6816.909091,53.27272727,53.27272727,6563.5,195.0790514,-1639.072464,0.816258827
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 23",50,3,5888,551.6,00:00.0,1592.056186,2534642.898,13,158,2129.666667,5.5,5.916666667,1967.230769,53.89195678,-768.7529412,0.243495006
"ALPS with NSGA2 {AgeGap=300, NumberOfLayers=10} Run 29",40,182,10982,3849.5,00:00.0,3598.389063,12948403.85,782,5882,9332,302,302,9332,287.6454034,-1759.585366,0.873295541
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 29",50,15,7015,1328,00:00.0,2019.138279,4076919.388,165,965,3985.833333,52.5,60.83333333,3753.461538,100.482593,-1133.823529,0.526269835
"ALPS with NSGA2 {AgeGap=150, NumberOfLayers=10} Run 29",45,26,9026,2469.333333,00:00.0,2888.606144,8344045.455,326,4526,6571.454545,53.27272727,53.27272727,6101,191.6007905,-1745.884058,0.758939281
"ALPS with NSGA2 {AgeGap=5, NumberOfLayers=10} Run 24",50,3,5983,674.5,00:00.0,1789.334972,3201719.643,18,163,2626.333333,5.083333333,5.5,2436.846154,68.11308523,-994.2705882,0.307919178
"ALPS with NSGA2 {AgeGap=50, NumberOfLayers=10} Run 30",50,15,7015,1487,00:00.0,2043.035956,4173995.918,115,2415,4331.666667,48.33333333,48.33333333,4099.615385,111.6878752,-1249.352941,0.63506616
